id,name_en,name_hi,category,water_requirement_mm_per_season,irrigation_frequency_days,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,notes
178,Spinach - Variety A,पालक,Vegetable,888.5,5,177.2,58.7,164.1,"Estimated values — region, variety and management dependent. Validate locally before use."
843,Cotton - Variety A #43,कपास,Fiber,625.6,8,123.5,50.1,119.5,"Estimated values — region, variety and management dependent. Validate locally before use."
201,Cardamom,इलायची,Spice,395.7,8,202.6,84.6,75.6,"Estimated values — region, variety and management dependent. Validate locally before use."
766,Turnip #66,शलजम,Vegetable,692.8,7,241.6,69.1,48.7,"Estimated values — region, variety and management dependent. Validate locally before use."
910,Amaranth (Chaulai) - Short Duration #10,चौलाई,Leafy Vegetable,758.0,5,109.7,65.0,32.8,"Estimated values — region, variety and management dependent. Validate locally before use."
294,Cabbage - High Yielding,पत्तागोभी,Vegetable,868.3,7,158.5,62.5,101.1,"Estimated values — region, variety and management dependent. Validate locally before use."
539,Curry Leaves - High Yielding,करी पत्ता,Herb,446.5,7,101.4,66.4,72.7,"Estimated values — region, variety and management dependent. Validate locally before use."
25,Mango - Short Duration,आम,Fruit,1194.3,18,165.8,125.1,144.7,"Estimated values — region, variety and management dependent. Validate locally before use."
695,Pulses (Mixed) - Short Duration #95,मिश्रित दालें,Pulse,330.7,16,35.7,35.9,39.0,"Estimated values — region, variety and management dependent. Validate locally before use."
211,Mustard Greens,सरसों का साग,Leafy Vegetable,742.1,7,99.2,56.6,84.8,"Estimated values — region, variety and management dependent. Validate locally before use."
425,Cluster Bean (Guar) - Short Duration,ग्वार,Vegetable,850.3,7,143.9,94.6,145.9,"Estimated values — region, variety and management dependent. Validate locally before use."
529,Carrot - High Yielding,गाजर,Vegetable,789.1,8,165.9,79.6,149.6,"Estimated values — region, variety and management dependent. Validate locally before use."
35,Pomegranate - Short Duration,अनार,Fruit,647.2,12,105.3,133.1,247.1,"Estimated values — region, variety and management dependent. Validate locally before use."
929,Sesbania - High Yielding #29,सेसबानिया,Fodder,610.9,11,195.8,24.3,59.4,"Estimated values — region, variety and management dependent. Validate locally before use."
399,Strawberry - High Yielding,स्ट्रॉबेरी,Fruit,1266.8,9,334.2,194.3,331.5,"Estimated values — region, variety and management dependent. Validate locally before use."
608,Soybean - Variety A #8,सोयाबीन,Oilseed,439.8,16,52.1,30.7,66.2,"Estimated values — region, variety and management dependent. Validate locally before use."
299,Coriander - High Yielding,धनिया,Herb,288.8,11,108.5,75.1,55.6,"Estimated values — region, variety and management dependent. Validate locally before use."
849,Sesame (Til) - High Yielding #49,तिल,Oilseed,312.0,20,72.4,41.1,51.3,"Estimated values — region, variety and management dependent. Validate locally before use."
669,Horse Gram - High Yielding #69,कुल्थी,Pulse,320.7,14,13.9,37.1,31.4,"Estimated values — region, variety and management dependent. Validate locally before use."
283,Okra (Bhindi) - Variety A,भिन्डी,Vegetable,862.8,6,175.0,91.5,92.6,"Estimated values — region, variety and management dependent. Validate locally before use."
940,Muskmelon - Short Duration #40,खरबूजा,Fruit,1003.4,9,342.4,154.6,144.3,"Estimated values — region, variety and management dependent. Validate locally before use."
945,Arrowroot - Short Duration #45,अरारुट,Other,575.4,7,143.8,64.1,153.5,"Estimated values — region, variety and management dependent. Validate locally before use."
607,Tobacco - Hybrid #7,तंबाकू,Cash Crop,308.9,19,125.2,27.1,41.2,"Estimated values — region, variety and management dependent. Validate locally before use."
960,Oats - Short Duration #60,जई,Cereal,453.9,14,109.7,59.8,32.0,"Estimated values — region, variety and management dependent. Validate locally before use."
935,Aloe Vera - Short Duration #35,घृतकुमारी,Other,638.7,7,158.8,67.6,199.2,"Estimated values — region, variety and management dependent. Validate locally before use."
732,Safflower - Hybrid #32,कुर्कुम,Oilseed,486.9,19,139.5,39.9,59.2,"Estimated values — region, variety and management dependent. Validate locally before use."
288,Colocasia (Arbi) - Variety A,अरबी,Vegetable,762.5,10,205.6,82.1,145.9,"Estimated values — region, variety and management dependent. Validate locally before use."
528,Turnip - Variety A,शलजम,Vegetable,671.6,10,141.0,40.8,61.8,"Estimated values — region, variety and management dependent. Validate locally before use."
808,Lucerne (Alfalfa) - Variety A #8,अल्फाल्फा,Fodder,858.0,6,121.7,52.4,73.9,"Estimated values — region, variety and management dependent. Validate locally before use."
230,Ridge Gourd - Short Duration,तोरई,Vegetable,336.5,7,224.0,74.1,57.3,"Estimated values — region, variety and management dependent. Validate locally before use."
437,Ginger - Hybrid,अदरक,Spice,915.8,9,152.7,62.7,109.2,"Estimated values — region, variety and management dependent. Validate locally before use."
29,Litchi - High Yielding,लिची,Fruit,799.3,20,301.7,85.9,160.2,"Estimated values — region, variety and management dependent. Validate locally before use."
375,Safflower - Short Duration,कुर्कुम,Oilseed,569.6,21,102.9,37.9,35.9,"Estimated values — region, variety and management dependent. Validate locally before use."
820,Watermelon - Short Duration #20,तरबूज,Fruit,1241.8,14,195.4,173.3,107.7,"Estimated values — region, variety and management dependent. Validate locally before use."
317,Turmeric - Hybrid,हल्दी,Spice,329.3,11,132.8,118.9,117.7,"Estimated values — region, variety and management dependent. Validate locally before use."
561,Nutmeg,जायफल,Spice,372.2,12,198.6,33.7,159.2,"Estimated values — region, variety and management dependent. Validate locally before use."
242,Sorghum (Jowar) - Hybrid,ज्वार,Cereal,440.7,16,140.9,26.2,48.9,"Estimated values — region, variety and management dependent. Validate locally before use."
150,Pineapple - Short Duration,अनानास,Fruit,1158.3,14,172.8,84.7,276.7,"Estimated values — region, variety and management dependent. Validate locally before use."
517,Cherry - Hybrid,चेरी,Fruit,1123.0,13,107.3,142.1,149.3,"Estimated values — region, variety and management dependent. Validate locally before use."
418,Coriander - Variety A,धनिया,Herb,282.2,11,29.1,45.7,99.0,"Estimated values — region, variety and management dependent. Validate locally before use."
661,Peas #61,मटर,Vegetable,697.2,8,161.7,47.8,73.1,"Estimated values — region, variety and management dependent. Validate locally before use."
199,Ginger - High Yielding,अदरक,Spice,932.1,10,149.3,55.2,134.6,"Estimated values — region, variety and management dependent. Validate locally before use."
586,Bitter Gourd (Karela),करेला,Vegetable,333.3,10,176.4,69.4,80.8,"Estimated values — region, variety and management dependent. Validate locally before use."
326,Tea,चाय,Plantation,1495.3,8,141.0,177.5,209.0,"Estimated values — region, variety and management dependent. Validate locally before use."
824,Bitter Gourd (Karela) - High Yielding #24,करेला,Vegetable,824.9,5,100.9,40.4,135.5,"Estimated values — region, variety and management dependent. Validate locally before use."
703,Pumpkin - Variety A #3,कद्दू,Vegetable,456.7,9,241.9,92.1,70.1,"Estimated values — region, variety and management dependent. Validate locally before use."
950,Job's Tears - Short Duration #50,हज़ारमुखी,Cereal,545.3,18,162.2,31.4,64.6,"Estimated values — region, variety and management dependent. Validate locally before use."
516,Apricot,खुबानी,Fruit,1454.3,10,299.4,144.5,146.6,"Estimated values — region, variety and management dependent. Validate locally before use."
865,Orange - Short Duration #65,संतरा,Fruit,824.0,8,104.1,128.4,327.3,"Estimated values — region, variety and management dependent. Validate locally before use."
837,Sorghum (Jowar) - Hybrid #37,ज्वार,Cereal,558.2,8,181.0,54.3,28.4,"Estimated values — region, variety and management dependent. Validate locally before use."
878,Okra (Bhindi) - Variety A #78,भिन्डी,Vegetable,538.5,5,150.2,102.7,117.2,"Estimated values — region, variety and management dependent. Validate locally before use."
360,Maize - Short Duration,मक्का,Cereal,588.5,10,171.6,39.9,50.9,"Estimated values — region, variety and management dependent. Validate locally before use."
595,Honey - Short Duration,शहद,Other,433.3,19,74.7,78.5,98.1,"Estimated values — region, variety and management dependent. Validate locally before use."
789,Cowpea (Lobia) - High Yielding #89,लोबिया,Pulse,455.0,12,52.0,30.7,18.9,"Estimated values — region, variety and management dependent. Validate locally before use."
189,Chickpea (Chana) - High Yielding,चना,Pulse,338.0,15,31.5,17.3,22.4,"Estimated values — region, variety and management dependent. Validate locally before use."
67,French Beans - Hybrid,फ्रेंच बीन्स,Vegetable,321.6,6,179.0,51.8,60.4,"Estimated values — region, variety and management dependent. Validate locally before use."
356,Saffron,केसरी/जाफरान,Spice,813.9,12,215.6,33.1,86.7,"Estimated values — region, variety and management dependent. Validate locally before use."
800,Vanilla - Short Duration #100,वैनिला,Spice,328.0,12,147.4,97.4,132.6,"Estimated values — region, variety and management dependent. Validate locally before use."
903,Chickpea (Chana) - Variety A #3,चना,Pulse,529.4,17,25.7,16.6,27.2,"Estimated values — region, variety and management dependent. Validate locally before use."
921,Tea #21,चाय,Plantation,1482.9,24,321.8,207.1,190.0,"Estimated values — region, variety and management dependent. Validate locally before use."
943,Bitter Gourd (Karela) - Variety A #43,करेला,Vegetable,782.8,7,132.3,73.0,64.9,"Estimated values — region, variety and management dependent. Validate locally before use."
331,Maize(Fodder),चारे का मक्का,Fodder,664.7,11,110.3,36.7,155.3,"Estimated values — region, variety and management dependent. Validate locally before use."
728,Groundnut (Peanut) - Variety A #28,मूँगफली,Oilseed,598.8,17,75.9,25.7,76.9,"Estimated values — region, variety and management dependent. Validate locally before use."
397,Apricot - Hybrid,खुबानी,Fruit,1212.6,20,334.2,187.0,143.8,"Estimated values — region, variety and management dependent. Validate locally before use."
464,Muskmelon - High Yielding,खरबूजा,Fruit,597.2,21,124.1,72.3,148.0,"Estimated values — region, variety and management dependent. Validate locally before use."
394,Pear - High Yielding,नाशपाती,Fruit,1461.0,21,139.5,147.9,320.2,"Estimated values — region, variety and management dependent. Validate locally before use."
312,Horse Gram - Hybrid,कुल्थी,Pulse,254.9,11,27.2,32.0,28.8,"Estimated values — region, variety and management dependent. Validate locally before use."
681,Vanilla #81,वैनिला,Spice,581.2,13,200.1,53.1,62.8,"Estimated values — region, variety and management dependent. Validate locally before use."
745,Pineapple - Short Duration #45,अनानास,Fruit,527.5,20,289.6,56.9,313.0,"Estimated values — region, variety and management dependent. Validate locally before use."
922,Coffee - Hybrid #22,कॉफ़ी,Plantation,1387.0,25,133.4,69.8,149.0,"Estimated values — region, variety and management dependent. Validate locally before use."
462,Moringa (Drumstick) - Hybrid,सहजन/मोरिंगा,Vegetable,546.8,4,170.0,62.0,196.4,"Estimated values — region, variety and management dependent. Validate locally before use."
523,Garlic - Variety A,लहसुन,Vegetable,723.6,6,236.2,87.2,147.5,"Estimated values — region, variety and management dependent. Validate locally before use."
632,Pear - Hybrid #32,नाशपाती,Fruit,1211.9,12,328.5,54.2,275.1,"Estimated values — region, variety and management dependent. Validate locally before use."
491,Mustard / Rapeseed,सरसों,Oilseed,374.0,20,89.6,38.5,47.5,"Estimated values — region, variety and management dependent. Validate locally before use."
196,Amaranth (Chaulai),चौलाई,Leafy Vegetable,490.7,5,136.2,79.6,49.5,"Estimated values — region, variety and management dependent. Validate locally before use."
257,Castor - Hybrid,अरंडी,Oilseed,414.1,21,63.0,36.8,60.1,"Estimated values — region, variety and management dependent. Validate locally before use."
694,Napier - High Yielding #94,नेपियर,Fodder,686.1,8,197.1,58.8,121.3,"Estimated values — region, variety and management dependent. Validate locally before use."
741,Papaya #41,पपीता,Fruit,1031.6,14,137.3,63.5,227.9,"Estimated values — region, variety and management dependent. Validate locally before use."
578,Aloe Vera - Variety A,घृतकुमारी,Other,810.6,17,142.6,17.3,142.7,"Estimated values — region, variety and management dependent. Validate locally before use."
158,Plum - Variety A,आलूबुखारा,Fruit,1141.7,20,243.8,192.6,349.9,"Estimated values — region, variety and management dependent. Validate locally before use."
613,Safflower - Variety A #13,कुर्कुम,Oilseed,421.3,17,95.6,36.5,25.7,"Estimated values — region, variety and management dependent. Validate locally before use."
393,Apple - Variety A,सेब,Fruit,854.6,18,218.1,152.2,134.4,"Estimated values — region, variety and management dependent. Validate locally before use."
970,Safflower - Short Duration #70,कुर्कुम,Oilseed,332.2,17,63.3,49.5,67.3,"Estimated values — region, variety and management dependent. Validate locally before use."
689,Lucerne (Alfalfa) - High Yielding #89,अल्फाल्फा,Fodder,486.9,8,193.9,35.0,94.8,"Estimated values — region, variety and management dependent. Validate locally before use."
362,Pearl Millet (Bajra) - Hybrid,बाजरा,Cereal,482.9,10,105.8,34.1,23.0,"Estimated values — region, variety and management dependent. Validate locally before use."
817,Hemp - Hybrid #17,भांग,Fiber,564.2,8,145.6,58.5,114.2,"Estimated values — region, variety and management dependent. Validate locally before use."
402,Okra (Bhindi) - Hybrid,भिन्डी,Vegetable,863.1,10,165.7,61.8,169.4,"Estimated values — region, variety and management dependent. Validate locally before use."
93,Maize(Fodder) - Variety A,चारे का मक्का,Fodder,599.8,7,165.0,20.3,130.1,"Estimated values — region, variety and management dependent. Validate locally before use."
918,Nutmeg - Variety A #18,जायफल,Spice,460.0,8,169.7,100.4,120.0,"Estimated values — region, variety and management dependent. Validate locally before use."
490,Groundnut (Peanut) - Short Duration,मूँगफली,Oilseed,382.8,14,88.4,22.3,35.1,"Estimated values — region, variety and management dependent. Validate locally before use."
452,Napier Grass - Hybrid,नेपियर घास,Fodder,681.3,8,178.6,21.0,106.4,"Estimated values — region, variety and management dependent. Validate locally before use."
252,Groundnut (Peanut) - Hybrid,मूँगफली,Oilseed,427.2,19,84.2,28.2,65.3,"Estimated values — region, variety and management dependent. Validate locally before use."
654,Spinach - High Yielding #54,पालक,Vegetable,491.2,4,92.6,53.6,100.1,"Estimated values — region, variety and management dependent. Validate locally before use."
770,Cabbage - Short Duration #70,पत्तागोभी,Vegetable,628.6,6,199.4,43.7,66.3,"Estimated values — region, variety and management dependent. Validate locally before use."
671,Buckwheat (Kuttu) #71,कुट्टू,Other,296.2,19,100.8,114.4,41.8,"Estimated values — region, variety and management dependent. Validate locally before use."
130,Jute - Short Duration,जूट,Fiber,492.1,11,200.9,62.1,73.2,"Estimated values — region, variety and management dependent. Validate locally before use."
638,Tomato - Variety A #38,टमाटर,Vegetable,850.3,10,98.9,82.1,98.4,"Estimated values — region, variety and management dependent. Validate locally before use."
992,Apricot - Hybrid #92,खुबानी,Fruit,514.5,19,145.1,110.2,184.4,"Estimated values — region, variety and management dependent. Validate locally before use."
343,Moringa (Drumstick) - Variety A,सहजन/मोरिंगा,Vegetable,579.5,8,138.6,110.2,164.8,"Estimated values — region, variety and management dependent. Validate locally before use."
309,Pigeon Pea (Tur/Arhar) - High Yielding,अरहर/तुअर,Pulse,306.2,20,14.3,39.2,12.0,"Estimated values — region, variety and management dependent. Validate locally before use."
137,Safflower - Hybrid,कुर्कुम,Oilseed,507.0,13,61.6,34.5,63.5,"Estimated values — region, variety and management dependent. Validate locally before use."
89,Coffee - High Yielding,कॉफ़ी,Plantation,1522.4,16,264.3,176.6,200.6,"Estimated values — region, variety and management dependent. Validate locally before use."
328,Rubber - Variety A,रबर,Plantation,1549.3,21,129.7,63.4,333.6,"Estimated values — region, variety and management dependent. Validate locally before use."
476,Honey,शहद,Other,917.2,12,89.1,91.4,160.2,"Estimated values — region, variety and management dependent. Validate locally before use."
982,Sapota (Chikoo) - Hybrid #82,चीकू,Fruit,610.8,7,242.8,175.4,264.5,"Estimated values — region, variety and management dependent. Validate locally before use."
851,Safflower #51,कुर्कुम,Oilseed,496.1,15,98.8,46.9,24.7,"Estimated values — region, variety and management dependent. Validate locally before use."
893,Fenugreek (Methi) - Variety A #93,मेथी,Leafy Vegetable,579.6,7,102.2,77.8,47.7,"Estimated values — region, variety and management dependent. Validate locally before use."
376,Castor,अरंडी,Oilseed,496.7,19,97.8,41.6,55.0,"Estimated values — region, variety and management dependent. Validate locally before use."
179,Fenugreek (Methi) - High Yielding,मेथी,Leafy Vegetable,321.8,8,120.9,74.8,58.1,"Estimated values — region, variety and management dependent. Validate locally before use."
27,Papaya - Hybrid,पपीता,Fruit,618.8,12,290.6,130.9,294.7,"Estimated values — region, variety and management dependent. Validate locally before use."
350,Arrowroot - Short Duration,अरारुट,Other,684.1,20,186.3,14.5,174.1,"Estimated values — region, variety and management dependent. Validate locally before use."
500,Almond - Short Duration,बादाम,Nut,1219.0,20,228.1,46.7,146.6,"Estimated values — region, variety and management dependent. Validate locally before use."
475,Saffron - Short Duration,केसरी/जाफरान,Spice,509.5,16,83.3,103.5,90.0,"Estimated values — region, variety and management dependent. Validate locally before use."
618,Cashew - Variety A #18,काजू,Nut,1305.1,17,107.0,143.1,91.1,"Estimated values — region, variety and management dependent. Validate locally before use."
